"","fulcrum_id","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo"
"113","fb737b4a-6e95-4589-9bb7-6a9567e13492","7b822f7f-b74b-4db3-af7e-c9910cfc86b8","BAG22",21:40:00,19.3,"Water",19.4,"9d2ea998-b62d-4db7-8100-719896a60453"
"114","6b107f04-ba1d-4e8b-a69c-56971ea1c2e6","7b822f7f-b74b-4db3-af7e-c9910cfc86b8","BAG26",22:06:00,18.6,"Water",18.9,"c46315e9-4b1a-4521-8e9a-751ac49a6686"
"115","a91f4e62-b5f4-4455-921f-5b174d7a6e4f","7b822f7f-b74b-4db3-af7e-c9910cfc86b8","BAG23",22:20:00,18.3,"Water",18.4,"85f27467-218e-4a65-934a-eb810b311cee"
"116","d751811c-e4c3-4ed3-901c-da481062bc5f","7b822f7f-b74b-4db3-af7e-c9910cfc86b8","BAG24",22:41:00,18.4,"Water",18.4,"e4aeabe4-bb06-4c2a-8a88-61d7429cbb20"
"117","77435aa8-ad44-45de-9e44-1826d28f6bfd","7b822f7f-b74b-4db3-af7e-c9910cfc86b8","BAG20",22:50:00,17.6,"Water",18.3,"63c7bca6-782d-4afa-a1e9-c5b32cc01b55"
"118","717c9516-44cf-4c9f-a4d7-a5d9f6e9d2a8","2448adff-c955-4817-a758-4f90ba776fb7","BAG19",21:48:00,NA,"Water",18.1,"b8b59d63-8091-42a7-8a97-9ebdb33ed067"
"119","2250e6df-c73e-4484-8752-1915a930f4ce","2448adff-c955-4817-a758-4f90ba776fb7","BAG10",22:35:00,NA,"Water",NA,"fbc04791-77c1-4cc4-9e10-0c4ab4ac32da"
"120","7718bb53-9760-44a7-ad08-999dbf3cf404","34786ec9-ea57-42ef-abe8-ecb1923fa45e","BAG27",21:36:00,18.9,"Water",18.7,"56fbec9e-101e-4417-af09-00aabf8666f5"
"121","2d7fc315-53de-44df-9091-839c97bb0da4","34786ec9-ea57-42ef-abe8-ecb1923fa45e","BAG08",21:49:00,18.7,"Water",18.5,"14fb2d7a-b4b0-4b5d-b768-ec56fb2004ab"
"122","f251d764-ce7e-4496-9c75-7b943c36ed84","34786ec9-ea57-42ef-abe8-ecb1923fa45e","BAG09",22:00:00,18.3,"Water",18,"717d2b8e-a6c6-40e1-b634-b865ab5f6768"
"123","db26ffed-56d9-407c-af47-7a2f09eb0ef6","34786ec9-ea57-42ef-abe8-ecb1923fa45e","BAG21",22:11:00,19.4,"Water",18.9,"c474a109-30ba-4f9b-a90e-709a2776538c"
