"","fulcrum_id","location","species","capture_date","cmr_id","cmr_id_other"
"99","aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d","RV Pond","Rana catesbeiana",2022-06-07,"A3",NA
"100","7596b49b-9cb9-4cfa-a576-d70769fba08f","RV Pond","Rana catesbeiana",2022-06-07,"A3A4",NA
"101","18cf979a-b3fa-433c-94e3-1d5522b8f42d","RV Pond","Rana catesbeiana",2022-06-07,"A4",NA
"102","0eedb390-6cb0-4a06-a912-2c2e5d489393","RV Pond","Rana catesbeiana",2022-06-07,"B2",NA
"103","17ad93d0-53d4-4bac-8869-f34ad0ad60b9","RV Pond","Rana catesbeiana",2022-06-07,"B3",NA
"104","87d2e23b-f3d6-49f7-9a33-2918eb5bfc98","RV Pond","Rana catesbeiana",2022-06-07,"B4",NA
"105","12998a52-91b8-4c54-8d8d-d60450f528de","RV Pond","Rana catesbeiana",2022-06-07,"A2",NA
"106","f0893cf2-7b55-474a-8133-dcfbeb1b96c1","RV Pond","Rana catesbeiana",2022-06-07,"A2A3",NA
"107","a024fdc7-9e5e-4130-b016-74b049b6d97b","RV Pond","Rana catesbeiana",2022-06-07,"A2A4",NA
"108","10c5d7f5-b4eb-4fc9-9131-5e88c0756197","RV Pond","Rana catesbeiana",2022-06-07,"A2B2",NA
"109","7f92dbdf-cb5a-48a7-837a-5450b4a46069","RV Pond","Rana catesbeiana",2022-06-07,"A2B3",NA
"110","cd015c34-b17f-45de-bebc-972aff09cf68","Admin Pond",NA,2022-05-19,"A2C4",NA
"111","28fa1e78-cc91-4a23-8705-340e7a38a0dd","Admin Pond",NA,2022-05-19,"A4",NA
"112","c1dcc31c-87eb-4537-9470-356e318b9b19","Admin Pond",NA,2022-05-19,"A2",NA
"113","a0841d0b-1197-4fef-beaf-e14eb80f4fcd","Admin Pond","Rana catesbeiana",2022-05-19,"A2A3",NA
"114","318943b4-4ffb-4a2b-997c-50b016b180d0","Tuttle Pond","Rana catesbeiana",2022-06-16,"A3B4",NA
"115","387470d6-e8ac-4a74-b51a-a00b7579b6a3","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B2",NA
"116","a1722807-aa8a-485e-b90c-ae0988994734","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B3",NA
"117","9600f036-7dd5-4bb1-bb9b-418cf4a3eae8","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B4",NA
"118","f60ad4f5-9555-47ff-a10b-8071677624e1","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A3B2"
"119","a0f86611-a4af-4302-be8f-101fc4086316","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A3B4"
"120","83e40ed5-1445-4629-8776-c1ebb83751ee","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B2"
"121","ff73589f-9a3b-478a-a037-9c5b77345de7","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B3"
"122","eef50f93-4714-4b9d-83f3-38877ef9511e","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B4"
"123","56e06ef3-fadc-4fc3-b859-fc389d7bc595","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A3A4B2"
"124","d3cc244d-a85c-48d7-b1cc-f33fee6ba646","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A3A4B3"
"125","1765ee31-72c2-4dee-8dde-bf99a1058bfa","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2",NA
"126","ef5d43f9-6489-4800-94c1-790c88e83ecc","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3",NA
"127","97bb8950-1465-4772-a546-f3f8106acdf3","Tuttle Pond","Rana catesbeiana",2022-06-15,"A4",NA
"128","101cbb74-1941-4e63-8715-f7f42cde7cfd","Tuttle Pond","Rana catesbeiana",2022-06-15,"B2",NA
"129","ec74f99e-2391-43a8-8929-957e37384ab5","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"130","e3942673-21fa-45e3-a580-81dc0e8fc6c3","Tuttle Pond","Rana catesbeiana",2022-06-15,"B4",NA
"131","ab5a2862-c3d6-4d6d-9a9b-68459791aeca","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A3",NA
"132","81585871-9ebb-48c5-8382-e6b89692b176","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A4",NA
"133","822e5f53-df47-4e14-98c1-37a397341017","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3A4",NA
"134","ef73b9a9-43fd-4665-b62b-e5e56d78c7a9","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B2",NA
"135","d5ac57ec-61e0-4bf7-a8b6-d326e97444b3","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B3",NA
"136","c5898625-fa67-4f6a-9c95-da4465952f01","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B4",NA
"137","2760d35a-5840-4355-84a1-7c9874ef122e","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B2",NA
"138","82e477df-ef00-43cc-8721-9d137188b8c7","Tuttle Pond","Rana catesbeiana",2022-06-15,NA,"A2A3B3"
"139","2859fdf8-a928-458f-8c3c-361801d10e96","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B3",NA
"140","c4905edc-42ee-4512-a1f9-e8a8a4e80096","Tuttle Pond","Rana catesbeiana",2022-06-15,"A4",NA
"141","c89bae24-af5a-439e-92e1-88086d91943e","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A4",NA
"142","bf848a34-2be6-4ae6-933b-9970d040119d","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B4",NA
"143","19941e3c-38ef-423c-8214-8c92c8ca7310","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A3",NA
"144","6ac597e0-3a45-417f-94fc-2c1056567207","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B3",NA
"145","46fa1fbc-d543-4de6-b918-875fc187e785","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B2",NA
"146","48e11475-5f4e-47ee-9b31-cca48bd2ceff","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"147","e41751ce-c321-414a-88b7-5ba53ec17474","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B3",NA
"148","dcb1e4ad-0ab1-479a-8a3c-e0b5252e834e","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"149","1f50ba3d-7b4a-4ab3-9460-b2594c1705b7","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2",NA
