"","X","fulcrum_id","created_at","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo","species"
"57",57,"e24f8aa0-ef58-4e14-ad56-c5122d76c3f9","2022-05-20 01:18:15 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag16","21:18:00",18.2,"Tree/Log/Bush (Lower than 1m)",18.2,"16553888-75b0-452d-bf38-885f34809111",NA
"58",58,"a0a8a4d1-ee01-43f3-a5ba-bc0c37fb1931","2022-05-20 01:34:21 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag28","21:34:00",19.4,"Water",19.7,"5e3d058b-9aed-4204-90c0-5f7571358273",NA
"59",59,"41a9ff8f-9446-4186-8994-874029a00563","2022-05-20 01:43:31 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag27","21:43:00",20.1,"Water",20.4,"1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35",NA
"60",60,"62d9d770-0bb5-4e48-8bae-b86c42d47e44","2022-05-20 01:47:21 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag06","21:47:00",18.6,"Wet ground",18.8,"2d6d1f37-af35-430b-bc14-0ce262d44f04",NA
"61",61,"c13932b5-3ad9-4e60-8ae5-ef7806d0292f","2022-05-20 02:20:04 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag18","22:20:00",19.4,"Water",19.6,"c30e398e-e9e5-48ee-a3c9-df9117df7392",NA
"62",62,"a4b82347-03be-4db8-bdcb-20fa412048c5","2022-05-20 02:40:52 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag19","22:40:00",19.4,"Water",19.7,"6daf3070-03b7-4593-af5e-07f9f6bb00de",NA
"63",63,"238e379f-ab25-4539-9e29-23c1803035f7","2022-05-20 02:57:53 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag17","22:57:00",18.4,"Water",18.6,"8987abb6-ea9b-4d42-b33c-60e76136dfc6",NA
"64",64,"a4d1c83c-3796-4b3c-87b4-7651edee34c9","2022-05-20 17:30:49 UTC","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag05","13:30:00",NA,"Dry ground",21.7,"128284c5-81c5-40ed-9a12-ace05ca82699",NA
"65",65,"e9f3c456-f9cf-4634-b9c4-9f51feaa84d5","2022-05-20 18:15:00 UTC","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag01","14:15:00",23.4,"Dry ground",24,"dfd0b36e-2b5f-488a-943b-e34f4d3a4cd5",NA
"66",66,"aaf393d6-73f1-4049-8a88-0b4e48cb65c4","2022-05-20 18:18:46 UTC","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag02","14:18:00",22.4,"Dry ground",23,"24688656-d5bb-40e1-825d-703cdb5bc6d9",NA
"67",67,"02783805-8d2b-49a5-aeec-ca82519a7c9e","2022-05-27 01:46:39 UTC","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG41","21:46:00",18.3,"Water",17.8,"72a67133-19fb-4034-8502-051d82db9804",NA
"68",68,"fe10b8fd-f984-4b24-8a3d-3f827c224db6","2022-05-27 01:53:14 UTC","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG37","21:53:00",18,"Water",18.2,"017f12bf-d25c-4b19-9b2b-b106c2c4f168",NA
"69",69,"530f9256-bec0-4fe1-b36c-80e53343921d","2022-05-27 01:59:07 UTC","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG49","21:59:00",18.1,"Water",17.9,"487486e7-9ea9-485d-8bf4-37956d444c74",NA
"70",70,"9c827f3e-f4c8-459b-8b2b-e38b9ee92bda","2022-05-27 02:30:51 UTC","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG38","22:30:00",17.5,"Water",17.2,"db001d9d-bb2e-40c1-8906-0ce303158a02",NA
"71",71,"b62ef0df-3ba0-43b1-be9a-fb2882a51a27","2022-05-27 02:56:51 UTC","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG42","22:56:00",17.8,"Water",18.4,"36838d72-a997-41c4-9343-54b2c74cce48,3857a8d3-8327-4834-af84-742fe67f1202",NA
