"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments"
"39","954e5c20-ea3f-4b99-82f6-22207a42dc33","2022-06-16 04:10:07 UTC","6c6c44e0-d829-4ebd-a93a-e4455911db4f","BAG22","Rana catesbeiana",NA,"New",NA,"a1722807-aa8a-485e-b90c-ae0988994734","Juvenile",NA,"Unknown",NA,47.8,17.75,2.9,14.85,"BdSwab00127","BacSwab00126",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00041",NA
"40","23ad3cb2-d3ab-46e0-a77e-459cdfdc1f1f","2022-06-15 03:34:30 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG12","Rana catesbeiana",NA,"New",NA,"101cbb74-1941-4e63-8715-f7f42cde7cfd","Juvenile",NA,"Unknown",NA,66.2,27.5,4.5,23,"BDSwab00101","BacSwab00101","MucBath00032","AMPBath00032",NA,NA,NA,"AntiBod00032",NA,NA,NA,"ToeClip00027",NA
"41","327271d7-2534-4f12-bfb0-5d9e2ba3da22","2022-06-15 03:43:51 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG54","Rana catesbeiana",NA,"New",NA,"ef73b9a9-43fd-4665-b62b-e5e56d78c7a9","Adult",NA,"Female",NA,79,57,4.9,52.1,"BDSwab00102","BacSwab00102","MucBath00033","AMPBath00033",NA,NA,NA,"AntiBod00033",NA,NA,NA,"ToeClip00033",NA
"42","e4962054-9ae7-4bd3-bdb1-1b31dc59e071","2022-06-15 03:45:20 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG03","Rana catesbeiana",NA,"New",NA,"97bb8950-1465-4772-a546-f3f8106acdf3","Juvenile",NA,"Unknown",NA,60.9,24.5,4.3,20.2,"BDSwab00103","BacSwab00103","MucBath00034","AMPBath00034",NA,NA,NA,"AntiBod00034",NA,NA,NA,"ToeClip00026",NA
"43","66971cf8-64f2-4fe7-ad6b-c0c841b33a59","2022-06-15 03:46:56 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG18","Rana catesbeiana",NA,"New",NA,"82e477df-ef00-43cc-8721-9d137188b8c7","Juvenile",NA,"Unknown",NA,51.8,21.25,6.1,15.15,"BDSwab00104","BacSwab00104","MucBath00035","AMPBath00035",NA,NA,NA,"AntiBod00035",NA,NA,NA,"ToeClip00037",NA
"44","a8bb9187-fee9-4d4c-813f-aa406f0725ed","2022-06-15 03:48:34 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG22","Rana catesbeiana",NA,"New",NA,"c5898625-fa67-4f6a-9c95-da4465952f01","Adult",NA,"Female",NA,76.1,52,5.5,46.5,"BDSwab00105","BacSwab00105","MucBath00036","AMPBath00036",NA,NA,NA,"AntiBod00036",NA,NA,NA,"ToeClip00035",NA
"45","7d2c2c16-e00d-4f00-a9b2-b1df0f50b701","2022-06-15 03:50:42 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG29","Rana catesbeiana",NA,"New",NA,"2859fdf8-a928-458f-8c3c-361801d10e96","Adult",NA,"Female",NA,65.7,28.75,4.1,24.65,"BDSwab00093","BacSwab00093",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00038",NA
"46","4d7ba195-e252-4844-9672-a2a34728c764","2022-06-15 03:53:37 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG07","Rana catesbeiana",NA,"New",NA,"81585871-9ebb-48c5-8382-e6b89692b176","Adult",NA,"Male",NA,105.9,126.35,7.7,118.65,"BDSwab00094","BacSwab00094",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00031",NA
"47","9f24a865-1e8c-42de-9d63-1c2276f2b73a","2022-06-15 03:56:26 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG27","Rana catesbeiana",NA,"New",NA,"ef5d43f9-6489-4800-94c1-790c88e83ecc","Adult",NA,"Female",NA,131.1,200,0,200,"BDSwab00095","BacSwab00095",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00025",NA
"48","a3d84320-bbf2-4ce2-8d56-108fd0ab475a","2022-06-15 04:00:02 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG55","Rana catesbeiana",NA,"New",NA,"1765ee31-72c2-4dee-8dde-bf99a1058bfa","Adult",NA,"Female",NA,NA,200,0,200,"BDSwab00096","BacSwab00096",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00024",NA
"49","171f8996-4f3b-4b4f-87a7-327ef7229342","2022-06-15 04:03:27 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG02","Rana catesbeiana",NA,"New",NA,"2760d35a-5840-4355-84a1-7c9874ef122e","Juvenile",NA,"Unknown",NA,50.3,15.25,3.3,11.95,"BDSwab00097","BacSwab00097",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00036",NA
