"fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"17ad93d0-53d4-4bac-8869-f34ad0ad60b9","2022-06-08 05:26:34 UTC","RV Pond","Rana catesbeiana",2022-06-07,"B3",NA
"87d2e23b-f3d6-49f7-9a33-2918eb5bfc98","2022-06-08 05:27:41 UTC","RV Pond","Rana catesbeiana",2022-06-07,"B4",NA
"12998a52-91b8-4c54-8d8d-d60450f528de","2022-06-09 02:38:17 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2",NA
"f0893cf2-7b55-474a-8133-dcfbeb1b96c1","2022-06-09 02:39:51 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2A3",NA
"a024fdc7-9e5e-4130-b016-74b049b6d97b","2022-06-09 02:44:01 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2A4",NA
"10c5d7f5-b4eb-4fc9-9131-5e88c0756197","2022-06-09 02:46:57 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2B2",NA
"7f92dbdf-cb5a-48a7-837a-5450b4a46069","2022-06-09 02:50:03 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2B3",NA
"318943b4-4ffb-4a2b-997c-50b016b180d0","2022-06-16 04:20:42 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,"A3B4",NA
"387470d6-e8ac-4a74-b51a-a00b7579b6a3","2022-06-16 04:23:17 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B2",NA
"a1722807-aa8a-485e-b90c-ae0988994734","2022-06-16 04:25:53 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B3",NA
"9600f036-7dd5-4bb1-bb9b-418cf4a3eae8","2022-06-16 04:27:39 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,"A4B4",NA
"f60ad4f5-9555-47ff-a10b-8071677624e1","2022-06-16 04:29:44 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A3B2"
"a0f86611-a4af-4302-be8f-101fc4086316","2022-06-16 04:31:30 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A3B4"
"83e40ed5-1445-4629-8776-c1ebb83751ee","2022-06-16 04:33:03 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B2"
"ff73589f-9a3b-478a-a037-9c5b77345de7","2022-06-16 04:35:34 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B3"
"eef50f93-4714-4b9d-83f3-38877ef9511e","2022-06-16 04:37:08 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A2A4B4"
"56e06ef3-fadc-4fc3-b859-fc389d7bc595","2022-06-16 04:38:57 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A3A4B2"
"d3cc244d-a85c-48d7-b1cc-f33fee6ba646","2022-06-16 04:40:11 UTC","Tuttle Pond","Rana catesbeiana",2022-06-16,NA,"A3A4B3"
"1765ee31-72c2-4dee-8dde-bf99a1058bfa","2022-06-15 04:41:57 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2",NA
"ef5d43f9-6489-4800-94c1-790c88e83ecc","2022-06-15 04:44:29 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3",NA
"97bb8950-1465-4772-a546-f3f8106acdf3","2022-06-15 04:46:26 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A4",NA
"101cbb74-1941-4e63-8715-f7f42cde7cfd","2022-06-15 04:48:06 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"B2",NA
"ec74f99e-2391-43a8-8929-957e37384ab5","2022-06-15 04:50:54 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"e3942673-21fa-45e3-a580-81dc0e8fc6c3","2022-06-15 04:54:35 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"B4",NA
"ab5a2862-c3d6-4d6d-9a9b-68459791aeca","2022-06-15 04:56:35 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A3",NA
"81585871-9ebb-48c5-8382-e6b89692b176","2022-06-15 04:58:11 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A4",NA
"822e5f53-df47-4e14-98c1-37a397341017","2022-06-15 05:00:56 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3A4",NA
"ef73b9a9-43fd-4665-b62b-e5e56d78c7a9","2022-06-15 05:02:57 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B2",NA
"d5ac57ec-61e0-4bf7-a8b6-d326e97444b3","2022-06-15 05:05:27 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B3",NA
"c5898625-fa67-4f6a-9c95-da4465952f01","2022-06-15 05:09:06 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B4",NA
"2760d35a-5840-4355-84a1-7c9874ef122e","2022-06-15 05:10:43 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B2",NA
"82e477df-ef00-43cc-8721-9d137188b8c7","2022-06-15 05:11:40 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,NA,"A2A3B3"
"2859fdf8-a928-458f-8c3c-361801d10e96","2022-06-15 05:14:42 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B3",NA
"c4905edc-42ee-4512-a1f9-e8a8a4e80096","2022-06-16 03:46:46 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A4",NA
"c89bae24-af5a-439e-92e1-88086d91943e","2022-06-16 03:47:18 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A4",NA
"bf848a34-2be6-4ae6-933b-9970d040119d","2022-06-16 03:47:49 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B4",NA
